64, 64, 1772.22
74, 74, 1217.38
144, 144, 1280.45
28, 28, 1754.65
147, 147, 2240.54
37, 37, 1330.1
116, 116, 2013.32
32, 32, 1114.72
58, 58, 1256.27
49, 49, 2255.85
151, 14, 1889.06
85, 8, 1213.69
184, 17, 1328.71
62, 7, 1853.26
185, 19, 2233.1
85, 7, 1398
147, 13, 2027.63
31, 3, 1100.12
79, 7, 1274.86
54, 4, 2363.37
126, 24, 1842.68
97, 15, 1209.5
172, 29, 1294.22
90, 17, 1887.42
165, 31, 2253.73
67, 12, 1382.75
139, 24, 2014.57
35, 5, 1123.12
96, 18, 1283.53
71, 13, 2288.39
70, 7, 1782.3
80, 8, 1222.56
140, 14, 1277.83
30, 3, 1761.92
150, 15, 2248.51
50, 5, 1355.06
120, 12, 2018.1
30, 3, 1105.79
70, 7, 1280.03
40, 4, 2250.05
